velox_path,bolt_path,category,keep_velox_name,notes
backends-velox/src/main/scala/org/apache/gluten/extension/ArrowConvertorRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/ArrowConvertorRule.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/ArrowScanReplaceRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/ArrowScanReplaceRule.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/BloomFilterMightContainJointRewriteRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/BloomFilterMightContainJointRewriteRule.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/CollectRewriteRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/CollectRewriteRule.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/CudfNodeValidationRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/CudfNodeValidationRule.scala,minor-modified,no,similarity=0.9919
backends-velox/src/main/scala/org/apache/gluten/extension/FlushableHashAggregateRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/FlushableHashAggregateRule.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/HLLRewriteRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/HLLRewriteRule.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/HashAggregateIgnoreNullKeysRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/HashAggregateIgnoreNullKeysRule.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/PartialGenerateRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/PartialGenerateRule.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/PartialProjectRule.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/PartialProjectRule.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/PullOutDuplicateProject.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/PullOutDuplicateProject.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/RewriteCastFromArray.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/RewriteCastFromArray.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/extension/RewriteUnboundedWindow.scala,backends-bolt/src/main/scala/org/apache/gluten/extension/RewriteUnboundedWindow.scala,minor-modified,no,similarity=0.9914
backends-velox/src/main/scala/org/apache/gluten/metrics/BatchScanMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/BatchScanMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/ExpandMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/ExpandMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/FileSourceScanMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/FileSourceScanMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/FilterMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/FilterMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/GenerateMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/GenerateMetricsUpdater.scala,identical,no,similarity=1.0000
